code,title,v1,v2,v3
D1,Academic stress in university students,0.90,0.20,0.10
D2,Anxiety and school performance,0.80,0.35,0.20
D3,Student burnout,0.75,0.25,0.50
D4,Depression in young adults,0.30,0.85,0.60
D5,Sleep quality and mental health,0.20,0.90,0.40
D6,Exercise and emotional regulation,0.35,0.70,0.30
D7,Nutrition and concentration,0.45,0.60,0.20
D8,University psychological support services,0.55,0.65,0.35
D9,Social media use and anxiety,0.70,0.50,0.40
D10,Breathing techniques and self regulation,0.40,0.75,0.25
