code,title,terms
D1,Academic stress in university students,academic stress student university pressure
D2,Anxiety and school performance,anxiety performance school student academic
D3,Student burnout,burnout exhaustion student stress
D4,Depression in young adults,depression sadness young adult mental_health
D5,Sleep quality and mental health,sleep_quality rest mental_health wellbeing
D6,Exercise and emotional regulation,exercise physical_activity emotional regulation mood
D7,Nutrition and concentration,nutrition diet concentration focus student
D8,University psychological support services,university support counseling therapy student
D9,Social media use and anxiety,social_media network anxiety student worry
D10,Breathing techniques and self regulation,breathing respiration self_regulation emotional regulation
