term,v1,v2,v3
academic,0.90,0.20,0.10
stress,0.85,0.25,0.20
anxiety,0.80,0.35,0.25
student,0.70,0.20,0.10
burnout,0.75,0.25,0.50
exhaustion,0.72,0.30,0.48
depression,0.30,0.85,0.60
sadness,0.25,0.80,0.65
sleep_quality,0.20,0.90,0.40
rest,0.25,0.85,0.35
mental_health,0.25,0.88,0.50
wellbeing,0.25,0.85,0.35
exercise,0.35,0.70,0.30
physical_activity,0.35,0.72,0.30
emotional,0.40,0.75,0.25
regulation,0.40,0.75,0.25
nutrition,0.45,0.60,0.20
diet,0.45,0.58,0.22
concentration,0.48,0.55,0.20
focus,0.50,0.55,0.18
support,0.55,0.65,0.35
counseling,0.50,0.70,0.40
therapy,0.48,0.72,0.42
social_media,0.70,0.50,0.40
network,0.68,0.48,0.38
breathing,0.40,0.75,0.25
respiration,0.38,0.76,0.25
self_regulation,0.40,0.75,0.25
